Name,Type,Address,Ratings,Location,Price,Image
Bo Doi Non Restaurant,Restaurant,"60 Tran Dang Ninh",4.0,Hanoi,180000,https://cdn.dealtoday.vn/img/s630x420/d5750e12a352405285a13bcce4e538de.jpg?sign=qdr4MSvogZE6KxaBDhDP3Q
Bun Viet Restaurant,Restaurant,"111 Lang Ha Street",3.8,Hanoi,60000,https://banahills.sunworld.vn/wp-content/uploads/2023/07/IMG_7065-scaled.jpg
Supremacy,Restaurant,"10",4.6,Hanoi,1500000,https://www.incredibleasiajourneys.com/uploads/galleries/home-restaurant-zwiF.jpg
Bun Cha Dac Kim,Restaurant,"67 Duong Thanh",4.3,Hanoi,90000,https://c8.alamy.com/comp/2XDH68X/hanoi-vietnam-28-jan-2024-outside-the-michelin-recommended-bun-cha-dac-kim-restaurant-in-hanoi-old-quarter-2XDH68X.jpg
Chops,Restaurant,"4 Quang An Street",4.5,Hanoi,400000,https://themangoroad.com/wp-content/uploads/2019/11/chops_hanoi_01-1024x682.jpg
The Sushi Club,Restaurant,"Hanoi, Vietnam",4.4,Hanoi,450000,https://halotravel.vn/wp-content/uploads/2021/04/The-Sushi-Club.jpg
Bun Cha Huong Lien,Restaurant,"24 Le Van Huu Street",4.8,Hanoi,85000,https://nhaphonet.vn/wp-content/uploads/2023/03/bun-cha-huong-lien-hai-ba-trung-3.jpg
Steakout,Restaurant,"24 Tran Hung Dao Street",4.5,Hanoi,750000,https://media-cdn.tripadvisor.com/media/photo-s/28/1f/17/0d/restaurant-front.jpg
Luna D' Autunno Restaurant,Restaurant,"27 Nam Ngu",4.6,Hanoi,550000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/cd/ab/1d/1st-floor-atmosphere.jpg?w=900&h=500&s=1
El Gaucho,Restaurant,"11 Trang Tien Street",4.9,Hanoi,2800000,https://jadehotelhoian.com/wp-content/uploads/2021/05/HaNoi-ElGaucho-Argentinian-Steakhouse.jpg
Hong Hoai Restaurant,Restaurant,"20 Bat Dan Street",4.2,Hanoi,220000,https://gcs.tripi.vn/public-tripi/tripi-feed/img/471620Fcw/nha-hang-hong-hoai
Namaste Hanoi,Restaurant,"46 Tho Nhuom Street",4.4,Hanoi,350000,https://holidays.tripfactory.com/blogs/wp-content/uploads/sites/6/2024/07/Namaste-Hanoi.webp
Tung's Kitchen,Restaurant,"2 Hang Bong Street",4.1,Hanoi,250000,https://www.vietnambuyingagent.com/wp-content/uploads/2024/03/Tungs-Kitchen-in-Hanoi.jpeg
Ding Tea,Restaurant,"28A Xuan La",3.9,Hanoi,60000,https://media-cdn.tripadvisor.com/media/photo-s/19/d7/62/3a/ding-tea-in-front-of.jpg
Hanoi Food Culture Restaurant,Restaurant,"Hanoi, Vietnam",4.3,Hanoi,280000,https://media-cdn.tripadvisor.com/media/photo-s/24/2f/63/46/warm-lovely-ambience.jpg
Chay Mihn Restaurant,Restaurant,"09 Au Trieu Street",4.6,Hanoi,180000,https://finediningvegan.com/wp-content/uploads/2023/06/trc0376_optimized-scaled.jpg
Loving Hut,Restaurant,"147b Au Co Street",4.2,Hanoi,90000,https://images.happycow.net/venues/1024/21/55/hcmp21552_68690.jpeg
1946 Restaurant,Restaurant,"Hanoi, Vietnam",4.5,Hanoi,300000,https://media.mia.vn/uploads/blog-du-lich/nha-hang-1946-noi-luu-giu-net-am-thuc-ha-noi-truyen-thong-trong-suot-nhung-nam-thang-hien-dai-02-1639838341.jpg
Shimla Indian Restaurant,Restaurant,"7a Xuan Dieu Street",4.4,Hanoi,380000,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=644448817915751
Tam An Vegetarian Restaurant,Restaurant,"Alley 180 Kim Hoa",4.0,Hanoi,70000,https://images.happycow.net/venues/1024/40/48/hcmp404879_2741299.jpeg
King BBQ Restaurant,Restaurant,"20 Hai Ba Trung",4.1,Hanoi,390000,https://product.hstatic.net/1000275435/product/15_optimized_01a3b46259ec4866bdedef4fd0970056_master.jpg
King BBQ Restaurant,Restaurant,"Shophouse B2-06 Vinhomes Gardenia",4.2,Hanoi,390000,https://product.hstatic.net/1000275435/product/15_optimized_01a3b46259ec4866bdedef4fd0970056_master.jpg
NYC Pizza,Restaurant,"63 Ma May Street",4.3,Hanoi,250000,https://media-cdn.tripadvisor.com/media/photo-s/16/e4/34/60/nyc-pizza-hanoi.jpg
Home Hanoi Restaurant,Restaurant,"34 Chau Long Street",4.7,Hanoi,650000,https://homevietnameserestaurants.com/wp-content/uploads/2023/09/Exterior_00004-scaled.jpg
Ho Tay Sushi Restaurant,Restaurant,"173 Nguyen Dinh Thi Street",4.2,Hanoi,350000,https://digiticket.vn/blog/wp-content/uploads/2021/07/nha-hang-ho-tay-2-1024x683.jpg
Cube Beefsteak & Drinks,Restaurant,"20 Alley 211 Xa Dan",4.5,Hanoi,320000,https://topbrands.vn/wp-content/uploads/2023/08/dia-chi-an-beefsteak-ha-noi-cube.jpg
Pizza Hut,Restaurant,"159 Xa Dan Street",4.0,Hanoi,220000,https://aeonmall-hadong.com.vn/wp-content/uploads/2020/05/pizza-hut-3-360x514.jpg
Xuvi Home,Restaurant,"68/53/11 Cau Giay",3.7,Hanoi,180000,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/26/7c/29/music-conner.jpg
Roma Pizza,Restaurant,"192 Thai Thinh",3.8,Hanoi,190000,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=437695041713368
Tam Cuisine & Traditional House,Restaurant,"7 Alley 2/437 Ngoc Thuy",4.6,Hanoi,500000,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/3e6dde7f0dc24cf8864e0add60c9700b.jpeg
Eastin Grand Hotel Saigon,Hotel,"235 Nguyen Van Troi, Phu Nhuan",5.0,Ho Chi Minh City,3200000,https://image-tc.galaxy.tf/wijpeg-8ncdrrbgyc1lo88aqjnkgfbkq/dsc-9664-2-copy.jpg?width=1920
