name,address,ratings,price,image_url,Location
La Siesta Premium Hang Be Hotel,"27A Hang Be St., Hanoi Old Quarter, Hoan Kiem, Hanoi",4.9,1800000,https://lh3.googleusercontent.com/p/AF1QipOLBxJYp-2Uxu0BMtxDc_NufR40bEEcnDGg6n9X=w446-h298-k-no,Ha Noi
Bespoke Trendy Hotel Hanoi,"12-14 Nguyen Quang Bich St., Cua Dong, Hoan Kiem, Hanoi",4.8,1500000,https://lh3.googleusercontent.com/p/AF1QipPctNFZvm2PCPZ39Z-Jgx48F3zWNjaJW3sU3iFL=w446-h298-k-no,Ha Noi
AIRA Boutique Hanoi Hotel & Spa,"38A Tran Phu St., Dien Bien, Ba Dinh, Hanoi",4.7,1350000,https://lh3.googleusercontent.com/p/AF1QipNXQMGxi0xTrK_LQdvs8JAs0lbcW8Is4RE_87es=w447-h298-k-no,Ha Noi
Hotel Mely,"21-23 Nhan Hoa St., Thanh Xuan Trung, Thanh Xuan, Hanoi",4,700000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyvAc3IvkrMGty8T66IdPU413FTjpSZWNpdvTKJ53F9VYPlKllv0jvRzKcoI8jVKc1UOpzzCwl8FP7mc7UKo2mLdMngExk6okWbxBl983lzGlauYWB5QXJykKYetDVbpa93FUgtM3m_MTB5=w224-h298-k-no,Ha Noi
La Nueva Boutique Hotel Hanoi,"32 Lo Su St., Ly Thai To, Hoan Kiem, Hanoi",4.8,1450000,https://lh3.googleusercontent.com/p/AF1QipOXKwkKxEL-ipp7RydsPms1fNhJH0WIYnO81Y2Z=w447-h298-k-no,Ha Noi
Hanoi Holiday Diamond Hotel,"5 Nguyen Sieu St., Hang Buom, Hoan Kiem, Hanoi",4.2,800000,https://lh3.googleusercontent.com/p/AF1QipPp0u_6amOlDiWwRc_8l5Mn5-gRd8U8qHzMZmb0=w435-h298-k-no,Ha Noi
San Grand Hotel,"2 Cau Go Alley, Hang Bac, Hoan Kiem, Hanoi",4.8,1600000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzINzyd5bA7-DQR_mzTb7iKygFKc7swkj9e2KiwcRIAtnY5NqfIeY-IVqbIoLFK5SYxR_YzUkpFEV4zYa4zjGkZ-5jehxYAYrIWGRbkat826fcYs897aQGEBP9hR0pT__ryz4FRPA=w397-h298-k-no,Ha Noi
Soleil Boutique Hotel,"211 Hang Bong St., Hang Bong, Hoan Kiem, Hanoi",4.8,1400000,https://lh3.googleusercontent.com/p/AF1QipOKPdsTUog8fm2gG2lzldMIxgaV40udDstFd8b6=w447-h298-k-no,Ha Noi
Anatole Hotel Ha Noi,"26-28-30 Nha Chung St., Hoan Kiem, Hanoi",4.8,1550000,https://lh3.googleusercontent.com/p/AF1QipP4qzLyZKo_5pZawR1YFtM1adwrWco6vV4JCyst=w446-h298-k-no,Ha Noi
Hilton Garden Inn Hanoi,"20 Phan Chu Trinh St., Hoan Kiem, Hanoi",4.3,2000000,https://lh3.googleusercontent.com/p/AF1QipPonq5YT2WD4LAkOzi7VLjaToQs6zBP9FBemE5y=w446-h298-k-no,Ha Noi
Champton Hanoi Hotel,"130 Hang Bong St., Hang Bong, Hoan Kiem, Hanoi",4.5,1100000,https://lh3.googleusercontent.com/p/AF1QipMlOirzc7t-A2hioerIgUW-k-89IqF-l0dhqLHq=w447-h298-k-no,Ha Noi
Sunset Bar,"5 To Hoa St., Tay Ho, Hanoi",4.5,300000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzhRWexTrAqB2czGKCcjilBoIRJHQf2I_5lchJeXDd9vkdTqUhBTSBNDfo4qgy8r8r7f9-I4tymq2FqpNlKNCQ1JzztAyoruzemJ8YAEgzh58HD6NxcGzwrFZSlZ3dWgGubXvJF9w=w397-h298-k-no,Ha Noi
San Premium Hotel,"36 Ha Trung St., Hang Bong, Hoan Kiem, Hanoi",4.8,1500000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxsxH3crkCjF9KK4TVnmhGeQ4F_avvhVCZGIH2aoyOSr6m-yvD5ENeijFboPvqGzipuj2TBctjIHRz_d333xyaSYnRAQfa13lF9gBFrJ7sw5xgbaDKEAF_1iGCRfj0zvIBedEco=w224-h298-k-no,Ha Noi
Munkhbat,"32 Yet Kieu St., Cua Nam, Hoan Kiem, Hanoi",3.8,500000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxMYhJ9FSC2khCPxVRSC89B5HjKf2-_lNb8y4r6gEtbd5syf18ASGDgKqEk9fpC5AJtXdaQH44IiR5he105ZL6QSyKZuwDTfze-_PgEnwPvhmbAxgmVTqKoJnpOa1g0rWLn4oki=w224-h298-k-no,Ha Noi
Hanoi Plaza Suite Hotel & Spa,"13 Dao Duy Tu St., Hang Buom, Hoan Kiem, Hanoi",4.7,1450000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzCynINqjDxxGjU8cWLdmpb1lIPLCsl2mqlPmQUUTLCHcID72qWdAQ7U7S8DOaTO4rcrUK7CI2oXIi8cXp3x84ZpuAYyAxEGXqQmaJBj58b61E-CyclaeMhg7ZmnHUM-ySpMRM68w=w397-h298-k-no,Ha Noi
Hyatt Regency Danang Resort and Spa,"5 Truong Sa St., Ngu Hanh Son Ward, Da Nang",4.5,2800000,https://lh3.googleusercontent.com/p/AF1QipOOeJZN7XXg-A3cAjtshlSKsGll0GLB2-DKZLEH=w412-h298-k-no,Da Nang
Sandy Beach Non Nuoc Resort,"21 Truong Sa, Hoa Hai, Ngu Hanh Son, Da Nang",4.3,2200000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx1CsOK_nuJ_h2NsLC-iXM838Hm_CiVr5XfSZRuxJzQ1OM5viS0s9HTmAyrjDOVadl6krKOWKdzSrofzs6u5ubtQquLFxNwstwk9RNppqWlG13h6SvsVQWdvolDHVR_DWDFUjsC=w397-h298-k-no,Da Nang
Eden Ocean View ,"294 Vo Nguyen Giap, Bac My Phu, Ngu Hanh Son, Da Nang",4,1800000,https://lh3.googleusercontent.com/p/AF1QipNHUQaelx4vV9sz0yxtdVwwaNP6W2zjipjsyRHn=w224-h375-k-no,Da Nang
Hanami Hotel ,"61-63 Hoang Ke Viem, Bac My Phu, Ngu Hanh Son, Da Nang",4.7,1500000,https://lh3.googleusercontent.com/p/AF1QipPIVUgYTLeTD1OJNHPkRk6gBgkn0V43isHPvTpM=w447-h298-k-no,Da Nang
Golden Lotus Grand Hotel,"86 Le Quang Dao, Bac My Phu, Ngu Hanh Son, Da Nang",4.9,2000000,https://lh3.googleusercontent.com/p/AF1QipMFuVc5TtGpB_ZJ5oZz7m1wYmrVUtkwQPPBkPjR=w254-h298-k-no,Da Nang
Sekong Hotel ,"160 Vo Nguyen Giap, An Hai, Son Tra, Da Nang",4.1,1600000,https://lh3.googleusercontent.com/p/AF1QipOrYrTHs7IGzvpyYZw8s0S_KUYfq9KNfXa2Ca8=w541-h298-k-no,Da Nang
Sontra Sea Hotel,"Lot 41 Hoang Sa, Tho Quang, Son Tra, Da Nang",4.8,1700000,https://lh3.googleusercontent.com/p/AF1QipMZp6qm91BP_gl6meH5pGeges4-5fmd53WYJGo3=w397-h298-k-no,Da Nang
Hilton Da Nang,"50 Bach Dang, Hai Chau, Da Nang",4.6,2600000,https://lh3.googleusercontent.com/p/AF1QipOBmTt4Dmqo67cJ8dmXIDAUtW7IA3q1VkZD1Wbb=w224-h336-k-no,Da Nang
Radisson Hotel Danang,"170 Vo Nguyen Giap, An Hai, Son Tra, Da Nang",4.6,2400000,https://lh3.googleusercontent.com/p/AF1QipOSN8mblvk4JzfiEIbefQFALxE1nFmkayW7yuk1=w447-h298-k-no,Da Nang
Sala Danang Beach Hotel,"36-38 Lam Hoanh, An Hai, Son Tra, Da Nang",4.6,2100000,https://lh3.googleusercontent.com/p/AF1QipOWULB1YrP3CntGs1lKAjJ-WVmoMut7TRL5tXZy=w502-h298-k-no,Da Nang
Pullman Danang Beach Resort,"101 Vo Nguyen Giap, Khue My, Ngu Hanh Son, Da Nang",4.7,2500000,https://lh3.googleusercontent.com/p/AF1QipPZjhlgPiAM-8-L7CQZwrN2N3C_jgfQjhLSWIIl=w447-h298-k-no,Da Nang
Golden Lotus Hotel Da Nang,"200 Tran Bach Dang, Bac My Phu, Ngu Hanh Son, Da Nang",4.8,1900000,https://lh3.googleusercontent.com/p/AF1QipPawh-5x9zp3aXWLgvKhlHeXZtIVc1q65_gcK3a=w447-h298-k-no,Da Nang
Seashore Hotel,"16 Hoang Sa, Man Thai, Son Tra, Da Nang",4.7,1500000,https://lh3.googleusercontent.com/p/AF1QipP3K13dP2ETZw8cd3toiKEvcv8Gq54qyGSDoHLy=w224-h298-k-no,Da Nang
Son Tra Resort & Spa,"Hoang Sa, Tho Quang, Son Tra, Da Nang",4.2,1700000,https://lh3.googleusercontent.com/p/AF1QipOQkACLZf9MZEFenjVSfa-G9ajgoE09CRx_tzYZ=w447-h298-k-no,Da Nang
Danang Marriott Resort & Spa,"No. 07 Truong Sa St., Ngu Hanh Son, Da Nang",4.6,2700000,https://lh3.googleusercontent.com/p/AF1QipOO-FoCsRWUm87UAcd3LtZPwjpCY1BO0aGU2nKo=w530-h298-k-no,Da Nang
Haian Beach Hotel & Spa,"278 Vo Nguyen Giap, Bac My Phu, Ngu Hanh Son, Da Nang",4.6,1800000,https://lh3.googleusercontent.com/p/AF1QipM6vN32SOF0g3um5LtW2vqxo846pnke3nGD7CEU=w530-h298-k-no,Da Nang
Menora Grand Hotel,"69-71-73 Do Bi, Bac My Phu, Son Tra, Da Nang",3.7,1100000,https://lh3.googleusercontent.com/p/AF1QipPLdxYOCJ_uyy4cr59HgI7QijD-8E9vjtr7N9Y4=w224-h329-k-no,Da Nang
Estrella Hotel,"145 Nguyen Van Thoai, An Hai Dong, Son Tra, Da Nang",4.6,1300000,https://lh3.googleusercontent.com/p/AF1QipNcbkj_75mkkhgOd30ZdXxet8-tHHhj8-3kKfW0=w298-h298-k-no,Da Nang
Ocean Haven Hotel,"295 Ho Nghinh, An Hai, Son Tra, Da Nang",4.1,1200000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyg4HSdTv5ElRiqSDkQAQbwQYYU0biNp1PHkOyi8n5j8R54keCn1QaDo1FO6jYo9nYYKRzg9dVr8xibWJt_qQCiXKughJxE2yzpf_JqhPuqPY1pIQ3nMXBGoDy1m8R6YFzAnt5tdzDqqPk4=w224-h298-k-no,Da Nang
Palmier Hotel Da Nang,"305 Tran Hung Dao St., An Hai, Son Tra, Da Nang",4.6,1350000,https://lh3.googleusercontent.com/p/AF1QipOzDny6xl8gprtkGnR63rPOAPvjok5uStqB-EHd=w224-h384-k-no,Da Nang
Grand Tourane Hotel,"252 Vo Nguyen Giap, An Hai, Son Tra, Da Nang",4.3,1700000,https://lh3.googleusercontent.com/p/AF1QipPEsNMqsMYYJQM9qpk351NCMEZgStT948VxUnnf=w529-h298-k-no,Da Nang
BlueSun Hotel,"230 Vo Nguyen Giap, An Hai, Son Tra, Da Nang",4.8,1650000,https://lh3.googleusercontent.com/p/AF1QipMD27eTf2TKCuAox-v8QIf_yWw4zlw5EH8uTnbw=w224-h303-k-no,Da Nang
Halina Hotel & Apartment,"158 Tran Bach Dang, Bac My Phu, Ngu Hanh Son, Da Nang",4.4,1300000,https://lh3.googleusercontent.com/p/AF1QipNZPObD47qNBD6ApXTM_EhpoQcpHa3mFEzmhUYT=w447-h298-k-no,Da Nang
Diamond Beach Hotel,"24 Chinh Huu, An Hai, Son Tra, Da Nang",3.5,950000,https://lh3.googleusercontent.com/p/AF1QipMnttvNyqR7vHv371aKZruzPmwxAFl3bBrlEwup=w447-h298-k-no,Da Nang
Zalosea Hotel,"36 My Khe 4, An Hai, Son Tra, Da Nang",4,1100000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxmJKqjC4v2TfD0SrNVc6wkSC-uX6gONWPeFAScR0CEP66xFB92uOTsuDrbrXvNoUwf15KOywMaKd0vCfgKILhzNAI_Iu8uYPaQ4sP_BrlDm_A7QSqc6PiVeKiwxwaNzNQet4KQqQ=w316-h298-k-no,Da Nang
Gold Hotel Da Nang,"24 Nui Thanh, Binh Thuan, Hai Chau, Da Nang",4.6,1250000,https://lh3.googleusercontent.com/p/AF1QipPFHCERhl1gOGpmc959CccuvWEYLjQ4wNCVkscJ=w224-h336-k-no,Da Nang
Paris Deli Danang Beach Hotel,"236 Vo Nguyen Giap, An Hai, Son Tra, Da Nang",4.3,1500000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzY8R8wz4mRt1XSmOFJ3z5L-IID7Y8RguEtltgQ-CZdh96Dy1qUlnwfPhVILsV878AyrZPy6mXa_qB_lVbQdvGFg-BSzdhUKlMITYMO87xUiDrq7b6K1yOKITfPBpahHvmM1PO4MHOTa4qf=w224-h372-k-no,Da Nang
